State,Nominal GDP at current prices 2024 (millions of U.S. dollars)[1] 2022, Nominal GDP at current prices 2024 (millions of U.S. dollars)[1] 2024,Annual GDP change at current prices (2023–2024) Value,Annual GDP change at current prices (2023–2024) Percentage,Real GDP - growth rate - (2023–2024)[1],Nominal GDP per capita 2022,Nominal GDP per capita[1][3] 2024,% of national[1] 2022,% of national[1] 2024
 California,"36,41,643","40,80,178"," 438,535", 5.7%, 2.0%,"$93,460","$104,916",14.69%,14.14%
 Texas,"24,02,137","26,94,524"," 292,387", 6.0%, 7.4%,"$78,750","$86,987",8.69%,9.34%
 New York,"20,48,403","22,84,364"," 235,961", 5.8%, 1.5%,"$104,660","$117,332",8.11%,7.92%
 Florida,"14,39,065","16,95,273"," 256,208", 9.2%, 4.3%,"$63,640","$73,784",5.37%,5.87%
 Illinois,"10,25,667","11,32,143"," 106,476", 5.6%, 1.0%,"$81,730","$90,449",4.11%,3.92%
 Pennsylvania,"9,11,813","10,17,257"," 105,444", 6.2%, 2.5%,"$70,350","$78,544",3.67%,3.52%
 Ohio,"8,25,990","9,22,776"," 96,786", 6.3%, 2.1%,"$70,080","$78,120",3.22%,3.20%
 Georgia,"7,67,378","8,77,746"," 110,368", 6.7%, 1.9%,"$69,570","$78,754",2.99%,3.04%
 Washington,"7,38,101","8,50,529"," 112,428", 8.7%, 5.1%,"$94,470","$108,468",2.92%,2.95%
 New Jersey,"7,54,948","8,41,417"," 86,469", 6.4%, 2.1%,"$81,260","$90,272",2.94%,2.92%
 North Carolina,"7,15,968","8,32,747"," 116,779", 8.2%, 3.0%,"$66,070","$75,876",2.87%,2.89%
 Massachusetts,"6,91,461","7,76,147"," 84,686", 5.8%, 1.2%,"$98,750","$110,561",2.79%,2.69%
 Virginia,"6,63,106","7,59,236"," 96,130", 8.0%, 2.9%,"$76,080","$86,747",2.59%,2.63%
 Michigan,"6,22,563","7,03,277"," 80,714", 7.5%, 1.9%,"$62,020","$70,038",2.49%,2.44%
 Colorado,"4,91,289","5,50,173"," 58,884", 7.1%, 4.4%,"$83,580","$93,026",1.85%,1.91%
